bracket,layer_combo,hr_at_12,ndcg_at_12,mrr,n_users
1,L1,0.024665981500513873,0.013434513858180813,0.015390211022276798,973
2-4,L1,0.03027777777777778,0.011210611927695317,0.015317259900593233,3600
5-9,L1,0.023370458280080338,0.007690254905345329,0.010059850177615378,5477
10-19,L1,0.013807577598586104,0.003654285565161434,0.005320372461099292,9053
20-49,L1,0.011871809066863505,0.0026199929340261973,0.00401450333172053,16257
50+,L1,0.011067085667440907,0.0012594168554470285,0.00288885921656792,14638
1,L2,0.019527235354573486,0.01041295516963953,0.012289389267806533,973
2-4,L2,0.02277777777777778,0.00838367777148509,0.011393318101651435,3600
5-9,L2,0.015884608362242102,0.005006974915285833,0.00627634491976285,5477
10-19,L2,0.010935601458080195,0.002738294222271957,0.003871306044618758,9053
20-49,L2,0.00867318693485883,0.001567496759486558,0.002395689067584251,16257
50+,L2,0.008129525891515233,0.0010237670131666733,0.0023110671645307523,14638
1,L3,0.015416238437821172,0.006053687380021091,0.006727716157315336,973
2-4,L3,0.016944444444444446,0.005509514079014161,0.006442289963123297,3600
5-9,L3,0.011685229140040169,0.0029097755306969385,0.003643901389017328,5477
10-19,L3,0.007732243455208218,0.0018404535274786098,0.0023393304046126317,9053
20-49,L3,0.005413052838777142,0.0008049273739905926,0.0011726128675750376,16257
50+,L3,0.0050553354283372045,0.000569002593614945,0.001173466359967248,14638
1,L1+L2,0.022610483042137718,0.013007516837602305,0.01499579557133514,973
2-4,L1+L2,0.03277777777777778,0.011636720151839168,0.01575070145903479,3600
5-9,L1+L2,0.022092386342888442,0.007272809833139631,0.009662287076930128,5477
10-19,L1+L2,0.014470341323318238,0.003935725660060162,0.005777301665405057,9053
20-49,L1+L2,0.014024727809558959,0.0029344847872351306,0.004702105901589201,16257
50+,L1+L2,0.01229676185271212,0.00156123712867246,0.003579913770855156,14638
1,L1+L3,0.022610483042137718,0.013392209925532932,0.015346164626740166,973
2-4,L1+L3,0.030833333333333334,0.01135806067201997,0.015127034231200898,3600
5-9,L1+L3,0.020266569289757168,0.00704798915935401,0.009238917514433308,5477
10-19,L1+L3,0.014028498840163483,0.0035188050115558256,0.004985531730809539,9053
20-49,L1+L3,0.010826105677554284,0.0023585309880512773,0.0036271332912779673,16257
50+,L1+L3,0.009017625358655555,0.0011305613814622906,0.0028237181212314427,14638
1,L2+L3,0.019527235354573486,0.011141092300649087,0.01290926442519454,973
2-4,L2+L3,0.025833333333333333,0.008729014629580503,0.010908890492223825,3600
5-9,L2+L3,0.015884608362242102,0.005433601293231374,0.006890582182712911,5477
10-19,L2+L3,0.010051916491770684,0.002575576427564401,0.0035491013398889237,9053
20-49,L2+L3,0.007504459617395583,0.001354386730274256,0.0023276331359003443,16257
50+,L2+L3,0.004645443366580134,0.0005548905428031423,0.0013470420442001257,14638
1,L1+L2+L3,0.023638232271325797,0.013229794462862068,0.014600267837677908,973
2-4,L1+L2+L3,0.03138888888888889,0.01171091046626182,0.01580119648869649,3600
5-9,L1+L2+L3,0.021179477816322803,0.007370155808853705,0.00958322761773556,5477
10-19,L1+L2+L3,0.014691262564895615,0.0035882987561268484,0.005214900898652141,9053
20-49,L1+L2+L3,0.011195177462016362,0.0023103869243912517,0.0035325286893841974,16257
50+,L1+L2+L3,0.008471102609646126,0.0010288549058465272,0.0022823535256927797,14638
