article_id,e2_trend_phase_actual,e2_trend_momentum,first_week_sell_through,expected_sell_through_tier,total_purchases,n_buyers,velocity
0916881002,Emerging,2.995732273553991,1.0,High,19.0,18.0,3.8
0926668001,Emerging,2.70805020110221,1.0,High,14.0,13.0,14.0
0918591002,Emerging,2.5649493574615367,1.0,High,12.0,12.0,3.0
0852374006,Emerging,5.087596335232384,1.0,High,161.0,137.0,32.2
0875469007,Emerging,5.877735781779639,1.0,High,356.0,326.0,118.66666666666667
0935356001,Emerging,3.8712010109078907,1.0,High,47.0,42.0,9.4
0917624001,Emerging,2.772588722239781,1.0,High,15.0,14.0,3.0
0918597001,Emerging,2.639057329615259,1.0,High,13.0,12.0,13.0
0806241007,Emerging,4.189654742026425,1.0,High,65.0,62.0,21.666666666666668
0873001004,Emerging,3.2188758248682006,1.0,High,24.0,21.0,6.0
0873001002,Emerging,3.6109179126442243,1.0,High,36.0,33.0,9.0
0858692004,Emerging,3.258096538021482,1.0,High,25.0,22.0,25.0
0905507003,Emerging,2.8903717578961645,1.0,High,17.0,12.0,17.0
0873158003,Emerging,4.7535901911063645,1.0,High,115.0,109.0,28.75
0873158002,Emerging,5.159055299214529,1.0,High,173.0,161.0,28.833333333333332
0849424001,Emerging,3.044522437723423,1.0,High,20.0,17.0,3.3333333333333335
0849411002,Emerging,2.3978952727983707,1.0,High,10.0,10.0,3.3333333333333335
0886486001,Emerging,2.70805020110221,1.0,High,14.0,12.0,14.0
0859077018,Emerging,3.8066624897703196,1.0,High,44.0,41.0,44.0
0896338002,Emerging,4.700480365792417,1.0,High,109.0,88.0,18.166666666666668
0896338001,Emerging,4.189654742026425,1.0,High,65.0,48.0,10.833333333333334
0879096002,Emerging,3.6635616461296463,1.0,High,38.0,29.0,6.333333333333333
0896893001,Emerging,2.772588722239781,1.0,High,15.0,14.0,2.5
0896677001,Emerging,2.3978952727983707,1.0,High,10.0,10.0,5.0
0896527002,Emerging,4.532599493153256,1.0,High,92.0,78.0,18.4
